Model,R² Score,MAE,RMSE,MAPE,Explained Variance,CV R² Mean,CV R² Std,Training Time (s)
Lasso Regression,0.8806439863737648,4.209681740820127,5.389239407020832,87209205463472.4,0.8808845750736258,0.868599887029378,0.011818093402621502,0.04213118553161621
Ridge Regression,0.8804480338276083,4.214518935832992,5.39366148040864,84957512046022.48,0.8806795672873899,0.8685893619448134,0.011754589661632567,2.7702808380126953
Linear Regression,0.8804332983749565,4.214763142474848,5.393993869732841,84709580252225.2,0.880664200274332,0.8685885989218134,0.011744285550450664,0.0078887939453125
Support Vector Regressor,0.8797904451964956,4.256673982762746,5.408474898767404,100327536102420.38,0.8805868293170929,0.8655882069192444,0.012151565672863272,7.862947225570679
Gradient Boosting,0.8752657671278162,4.320087505763967,5.509321977552647,284341081653789.2,0.8762395857131874,0.8497538704097266,0.006113795169414357,140.8466260433197
XGBoost Regressor,0.8662520309051815,4.399282560348511,5.704911638472813,413629230622965.75,0.8681915653381223,0.8524516961858076,0.006817613799215554,28.86348581314087
CatBoost Regressor,0.8652597218451332,4.378102501427424,5.726035600811457,461497777161934.25,0.8665958159913771,0.8580231818568563,0.010732144563454352,135.28982973098755
AdaBoost Regressor,0.8531694838325944,4.638430695065331,5.977416070121823,391562967601934.9,0.8537980223480042,0.827524901987803,0.014387705409766373,2.1506288051605225
LightGBM Regressor,0.8526686453336785,4.4794359066077,5.9876018667188635,567869937750902.1,0.8553964954715456,0.8484337714216167,0.007287267796067018,90.58068990707397
Random Forest Regressor,0.8523920697448484,4.570571301258878,5.993219299808758,542911454153098.94,0.8546124556765993,0.8391198205791237,0.010876136524103746,102.64097309112549
Neural Network,0.8158387332382875,5.075649833679199,6.694289207658144,753031118449541.1,0.8198758114915754,0.0,0.0,0.0
Decision Tree,0.8126836948052588,5.1775,6.7513887460284785,562949953421312.1,0.8205951311013798,0.7983489805074859,0.011290104452379766,2.7096750736236572
K-Neighbors Regressor,0.5886807802708585,7.595537758789077,10.004487034233078,869141352674529.8,0.5991559209345727,0.6476561675657202,0.04348073831685017,0.27461814880371094
